R-R Interval,Mean Squared Error of Signals,"Type (1=AF, 2=NS)"
0.0256960000000001,5.10090381746045e-05,1
0.0290919999999999,5.10090381746045e-05,1
0.0249392000000001,5.10090381746045e-05,1
0.0490538666666667,5.10090381746045e-05,1
0.0372752000000003,5.10090381746045e-05,1
0.00021866666666668,5.10090381746045e-05,1
0.0031436190476191,5.10090381746045e-05,1
0.013467428571428,5.10090381746045e-05,1
0.0564832000000003,5.10090381746045e-05,1
0.120666666666664,5.10090381746045e-05,1
0.0370879999999994,5.10090381746045e-05,1
0.0191719999999995,5.10090381746045e-05,1
0.000373333333333431,5.10090381746045e-05,1
0.000227999999999932,5.10090381746045e-05,1
0.220869333333335,5.10090381746045e-05,1
0.0443488000000012,5.10090381746045e-05,1
0.0517167999999959,5.10090381746045e-05,1
0.0328288000000006,5.10090381746045e-05,1
0.0162159999999994,5.10090381746045e-05,1
0.0294800000000011,5.10090381746045e-05,1
0.0397159999999994,5.10090381746045e-05,1
0.0420735999999989,5.10090381746045e-05,1
0.0270186666666651,5.10090381746045e-05,1
0.0357359999999996,5.10090381746045e-05,1
0.0220099047619032,5.10090381746045e-05,1
0.0695295999999984,5.10090381746045e-05,1
0.0349440000000022,5.10090381746045e-05,1
0.0373919999999983,5.10090381746045e-05,1
0.0382439999999974,5.10090381746045e-05,1
0.0176146666666662,5.10090381746045e-05,1
0.0285199999999987,5.10090381746045e-05,1
0.0339087999999931,5.10090381746045e-05,1
0.113200000000012,5.10090381746045e-05,1
0.0403666666666619,5.10090381746045e-05,1
0.0297759999999998,5.10090381746045e-05,1
0.0667050666666668,5.10090381746045e-05,1
0.0358866666666695,5.10090381746045e-05,1
0.00705546666666652,5.10090381746045e-05,1
0.633136000000005,5.10090381746045e-05,1
0,5.10090381746045e-05,1
0.947418666666679,5.10090381746045e-05,1
0.148047999999999,5.10090381746045e-05,1
0,5.10090381746045e-05,1
0.0357760000000021,5.10090381746045e-05,1
0.0551536000000074,5.10090381746045e-05,1
0.0237226666666656,5.10090381746045e-05,1
0.525145333333337,5.10090381746045e-05,1
0.0220032000000042,5.10090381746045e-05,1
0.0737599999999993,5.10090381746045e-05,1
0.000447999999999503,5.10090381746045e-05,1
4.799999999989e-05,5.10090381746045e-05,1
1.60000000000012e-05,5.10090381746045e-05,1
6.40000000001564e-05,5.10090381746045e-05,1
0.000415999999999501,5.10090381746045e-05,1
7.86666666671148e-05,5.10090381746045e-05,1
0.0199893333333338,5.10090381746045e-05,1
0.0259951999999982,5.10090381746045e-05,1
0.0241516190476179,5.10090381746045e-05,1
0.0134019047619071,5.10090381746045e-05,1
0.00361942857142913,5.10090381746045e-05,1
0.0466666666666621,5.10090381746045e-05,1
0.063315199999995,5.10090381746045e-05,1
0.289540000000012,5.10090381746045e-05,1
0.0303359999999936,5.10090381746045e-05,1
0.171758666666665,5.10090381746045e-05,1
0.175189333333305,5.10090381746045e-05,1
0.0474319999999803,5.10090381746045e-05,1
0.227269333333312,5.10090381746045e-05,1
0.0173199999999918,5.10090381746045e-05,1
0.034348800000006,5.10090381746045e-05,1
0.0950479999999907,5.10090381746045e-05,1
0.026459054545455,5.10090381746045e-05,1
